7896727918963;COD_LST;COD_NBS;ID_ESTOQUE;DESCRICAO;UNI_MEDIDA;PRC_CUSTO;PRC_VENDA;UTL_VENDA;MARGEM_LB;POR_COMISSAO;ULT_FORNEC;NOME;ID_TIPOITEM;TIPO_ITEM;ADICIONAL1;ADICIONAL2;ID_INDEXADOR;INDEXADOR;ID_GRUPO;GRUPO;DESC_CMPL;COD_BARRA;REFERENCIA;PRC_MEDIO;QTD_ATUAL;QTD_MINIM;QTD_INICIO;ULT_COMPRA;PESO;IPI;CF;CST;CST_IPI;CST_PIS;CST_COFINS;PIS;COFINS;IAT;IPPT;COD_NCM;CSOSN;MVA;ID_NIVEL1;NIVEL1;ID_NIVEL2;NIVEL2;TAXA_ICMS;GRADE_SERIE;ISS_ALIQ;ANP;FCI;PRC_ATACADO;CFOP_NF;CFOP_CF;COD_CEST;CENQ;OBSERVACAO
16;;;16;ESMALTE RISQUE BASE INCOLOR;UN;3,0367;5,9;10/05/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891182820011;270589;2,93;0;0;0;11/01/2023;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
17;;;17;ESMALTE RISQUE DOCE PEROLA;UN;2,71;5,9;29/04/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891182014854;570017;2,7;0;0;0;27/09/2022;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
18;;;18;ESMALTE RISQUE MARITIMA;UN;2,6983;5,9;20/05/2022;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891182019880;570088;2,7;0;0;0;30/11/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
19;;;19;ESMALTE RISQUE GRANULADO ROSE;UN;2,59;5,9;11/01/2021;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;;570090;2,59;0;1;0;05/01/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
20;;;20;ESMALTE RISQUE PSICO;UN;2,2033;5,9;27/04/2022;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891182991872;270341;2,36;0;0;0;08/07/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
21;;;21;SHAMPOO A SECO KARINA 150ml;UN;15,99;28,9;17/05/2023;;;91;GENESIO A MENDES e CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891176117943;321148;15,99;0;0;0;03/08/2022;0;0;;41;53;6;6;0;0;A;P;33051000;102;0;;;;;;N;;;;0;5102;5102;2001700;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
22;;;22;ESMALTE RISQUE DIAMOND SAL ROSA;UN;6,0367;11,9;19/01/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891350037036;570315;6,04;0;0;0;25/07/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
23;;;23;ESMALTE RISQUE DIAMOND ESPUMANTE ROSE;UN;5,27;11,9;18/07/2022;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891350037050;570324;5,63;0;0;0;29/06/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
24;;;24;ESMALTE RISQUE DIAMOND VERMELHO RUBI;UN;6,0367;11,9;23/12/2022;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891350037135;570321;6,02;0;0;0;25/07/2022;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
25;;;25;ESMALTE RISQUE DIAMOND VINHO BORDO;UN;6,0367;11,9;06/09/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891350037142;570322;6,04;0;0;0;25/07/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
26;;;26;ESMALTE RISQUE DIAMOND NOZ MOSCADA;UN;6,0367;11,9;09/11/2022;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891350037029;570328;6,02;0;0;0;25/07/2022;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
27;;;27;ESMALTE RISQUE DIAMOND VERMELHO CEREJA;UN;6,0367;11,9;16/12/2022;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891350037128;570325;6,04;0;0;0;25/07/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
28;;;28;ESMALTE RISQUE DIAMOND TOP COAT FIXADOR;UN;8,1408;13,9;09/11/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891350037197;570334;7,89;0;0;0;11/01/2023;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
29;;;29;ESMALTE RISQUE DIAMOND CHA BRANCO;UN;6,2;11,9;26/02/2021;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891350037005;570333;6,2;0;0;0;05/01/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
30;;;30;ESMALTE RISQUE DIAMOND CETIM DOURADO;UN;6,2;11,9;15/04/2023;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891350037180;570331;6,2;0;0;0;05/01/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
31;;;31;ESMALTE RISQUE DIAMOND BRANCO CAMAFEU;UN;6,2;11,9;11/01/2021;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891350037012;570330;6,2;0;0;0;05/01/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
32;;;32;ESMALTE RISQUE DIAMOND CINZA GRANITO;UN;6,2;11,9;14/06/2022;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891350036992;570329;6,2;0;0;0;05/01/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
33;;;33;ESMALTE RISQUE DIAMOND TIRAMISU;UN;6,2;11,9;06/05/2022;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891350037043;570332;6,2;2;0;0;05/01/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
34;;;34;ESMALTE RISQUE DIAMOND AMORA NEGRA;UN;6,0367;11,9;02/03/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891350037159;570327;6,04;1;0;0;25/07/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
35;;;35;ESMALTE RISQUE DIAMOND PRETO CAVIAR;UN;6,0367;11,9;16/12/2022;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891350037173;570326;6,04;0;0;0;25/07/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
36;;;36;MASCARA ALFAPARF DESAMARELADOR 300 G;UN;14,81;29,99;07/02/2022;;;10;DISTRIBUIDORA OK LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7898468519812;107061;14,81;1;0;0;18/01/2022;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002000;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
37;;;37;SHAMPOO ALFAPARF DESAMARELADOR 300 ML;UN;11,3267;29,99;21/01/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7898468519805;410223;11,27;0;0;0;05/01/2022;0;0;;41;53;6;6;0;0;A;T;33051000;102;0;;;;;;N;;;;;5102;5102;2001700;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
38;;;38;KIT DESAMARELADOR ALTA MODA ALFAPARF 150 G;UN;9,8067;19,9;02/12/2022;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7898468503811;410073;9,81;0;0;0;25/03/2022;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;0;5102;5102;2002200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
39;;;39;COLORACAO ALFAPARF 12.111;UN;9,8067;19,99;12/08/2022;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7899884200728;410221;9,81;0;0;0;25/03/2022;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;0;5102;5102;2002200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
40;;;40;SPRAY CLESS ARGAN 50ml;UN;8,25;18,9;25/02/2023;;;68;CLESS COMERCIO DE COSMETICOS S.A.;0;Mercadoria para revenda;;;;;62;CABELO;;7896046708498;140171;8,25;1;0;0;14/07/2021;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002100;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
41;;;41;AGUA OXIGENADA BEIRA ALTA 40V 90ML;UN;1,17;2,99;19/12/2023;;;88;LOJA DA VIVI LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7896213300111;28;1,2;11;0;0;29/12/2022;0;0;;41;53;6;6;0;0;A;P;33059000;102;0;;;;;;N;;;;0;5102;5102;2002000;999;
42;;;42;BOLA DE ALGOD�O 100G SUSSEX;UN;4,6;8;05/04/2022;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7896018696013;49;4,6;0;0;0;09/08/2021;0;;;41;53;99;99;;;A;P;30051090;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
43;;;43;ALGOD�O ROLO HOSPITALAR 250G SUSSEX;UN;11,28;21,9;19/06/2023;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7896018672505;62;11,28;1;0;0;09/08/2021;0;;;41;53;99;99;;;A;T;30051090;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
44;;;44;BOB PARA CABELO SEM CAPA N�MERO 0;UN;2,62;4,5;03/12/2021;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7897169200845;5758;2,62;0;0;0;06/01/2021;0;;;41;53;99;99;;;A;T;96159000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
45;;;45;BOB SANTA CLARA N2 SEM CAPA 12 UN;UN;3,3;6,5;22/09/2022;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7897169200869;5761;3,3;0;0;0;06/01/2021;0;;;41;53;99;99;;;A;T;96159000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
46;;;46;CREME DEPILAT�RIO CORPORAL DEPIMANIA 120g;UN;15,46;22,9;20/10/2021;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7794728043830;8524;14,91;0;0;0;25/05/2021;0;0;;41;53;6;6;0;0;A;P;33079000;102;0;;;;;;N;;;;;5102;5102;2801800;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
47;;;47;CREME DEPILAT�RIO FACIAL 40G DEPIMANIA;UN;10,5;16,9;03/02/2023;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7794728043748;8523;10,25;0;0;0;09/08/2021;0;0;;41;53;6;6;0;0;A;P;33079000;102;0;;;;;;N;;;;;5102;5102;2801800;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
48;;;48;ELASTICO SANTA CLARA 50 UN;UN;1,44;2,9;17/06/2023;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7897169201132;5726;1,44;0;1;0;06/01/2021;0;;;41;53;99;99;;;A;T;40091290;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
49;;;49;ESPONJA TWIST SANTA CLARA P;UN;15,37;24,9;;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7897169236967;8078;14,68;0;0;0;14/06/2021;0;;;41;53;99;99;;;A;P;96162000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
50;;;50;ESPONJA TWIST SANTA CLARA M;UN;14,14;24,9;07/12/2022;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7897169245280;8077;13,59;0;0;0;14/06/2021;0;;;41;53;99;99;;;A;P;96162000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
51;;;51;FOLHA DEPILATORIA DEPI MANIA CORPORAL 16UN;UN;14,61;22,9;27/08/2021;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7794728042543;8528;14,61;0;0;0;06/01/2021;0;0;;41;53;6;6;0;0;A;P;33079000;102;0;;;;;;N;;;;;5102;5102;2801800;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
52;;;52;FOLHA DEPILATORIA DEPI MANIA FACIAL 16UN;UN;8,25;14,9;19/11/2022;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7794728042536;8527;8,25;0;0;0;06/01/2021;0;0;;41;53;6;6;0;0;A;P;33079000;102;0;;;;;;N;;;;;5102;5102;2801800;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
53;;;53;MOUSSE DEPILATORIO MOOD 150ml;UN;24,2;49,9;09/08/2023;;;19;APEX DISTRIBUIDORA EIRELI;0;Mercadoria para revenda;;;;;63;PELE;;7898567703938;;28,76;0;0;0;25/06/2021;0;0;;41;53;6;6;0;0;A;P;33079000;102;0;;;;;;N;;;;;5102;5102;2801800;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
54;;;54;�LEO DE BANANA 90ml - BEIRA ALTA;UN;3,84;6,99;27/04/2021;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7896213300043;1495;3,84;0;1;0;06/01/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
55;;;55;PENTE SANTA CLARA GARFO AFRO 3778;UN;4,72;9,75;11/07/2022;;;34;R-TEN COMERCIO E DISTRIBUIDORA LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7897169237780;7482;4,89;1;0;0;24/02/2021;0;;;41;53;99;99;;;A;P;96151100;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
56;;;56;PENTE DOMPEL GARFO AFRO 4542;UN;2,5783;8,99;27/02/2023;;;45;DOMPEL IND PLASTICA E METAL LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7896727945426;7556;2,86;4;0;0;22/11/2021;0;;;41;53;99;99;;;A;T;96151100;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
57;;;57;PIRANHA PL�STICA SANTA CLARA 6 UNIDADES 2567;UN;3,3;6,5;06/10/2021;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7897169225671;6779;3,3;0;0;0;06/01/2021;0;;;41;53;99;99;;;A;P;96151100;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
58;;;58;PO DESC BEIRA ALTA QUERATINA AZUL 20 G;UN;3,25;5,9;08/03/2022;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7896213313562;6563;3,25;0;0;0;06/01/2021;0;0;;41;53;6;6;0;0;A;P;33059000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
59;;;59;ACETONA BEIRA ALTA 90ml;UN;2,41;4,5;26/04/2021;;;2;DAUM DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;;;2,41;0;1;0;06/01/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 53557/3
